diputado,presentes,ausentes,votaciones,presentismo_%
"Gomez, Jose",42,171,213,19.7
"Aguirre, Manuel Ignacio",42,152,194,21.6
"Cipolini, Gerardo",80,133,213,37.6
"Domingo, Agustin",76,118,194,39.2
"Outes, Pablo",85,128,213,39.9
"Calletti, Pamela",86,108,194,44.3
"Lopez Murphy, Ricardo Hipolito",88,106,194,45.4
"Lospennato, Silvia",88,106,194,45.4
"Fernandez, Agustin",88,106,194,45.4
"Avila, Jorge Antonio",106,107,213,49.8
"Medina, Gladys",107,106,213,50.2
"Fernandez, Elia Marina",107,106,213,50.2
"Arjol, Martin",104,90,194,53.6
"Fernandez, Carlos Alberto",104,90,194,53.6
"Arrua, Alberto",115,98,213,54.0
"Randazzo, Florencio",106,88,194,54.6
"Ruiz, Yamila",117,96,213,54.9
"Antola, Marcela",108,86,194,55.7
"Laspina, Luciano Andres",110,84,194,56.7
"Vega, Yolanda",121,92,213,56.8
"Vancsik, Daniel",121,92,213,56.8
"Gonzalez, Alvaro",130,83,213,61.0
"Picat, Luis Albino",133,80,213,62.4
"Chumpitaz, Gabriel Felipe",122,72,194,62.9
"Campero, Mariano",135,78,213,63.4
"Zago, Oscar",136,77,213,63.8
"Morchio, Francisco",137,76,213,64.3
"Falcone, Eduardo",138,75,213,64.8
"Barletta, Mario",126,68,194,64.9
"Nuñez, Jose",139,74,213,65.3
"Bertoldi, Tanya",128,66,194,66.0
"Llancafilo, Osvaldo",128,66,194,66.0
"Pichetto, Miguel Angel",141,72,213,66.2
"Pagano, Marcela Marina",142,71,213,66.7
"Marziotta, Gisela",132,62,194,68.0
"Razzini, Veronica",145,68,213,68.1
"Baldassi, Hector W.",136,58,194,70.1
"Tetaz, Martin Alberto",136,58,194,70.1
"Polini, Juan Carlos",136,58,194,70.1
"Rizzotti, Jorge",150,63,213,70.4
"Romero, Ana Clara",138,56,194,71.1
"Capozzi, Sergio Eduardo",155,58,213,72.8
"Torres, Alejandra",156,57,213,73.2
"Bachey, Karina Ethel",142,52,194,73.2
"Gonzalez, Gerardo Gustavo",158,55,213,74.2
"Moreno, Maria de los Angeles",144,50,194,74.2
"Brambilla, Sofia",146,48,194,75.3
"Carrizo, Soledad",146,48,194,75.3
"Nieri, Lisandro",162,51,213,76.1
"Verasay, Pamela Fernanda",162,51,213,76.1
"Daives, Ricardo",162,51,213,76.1
"Quiroz, Marilu",148,46,194,76.3
"De la Sota, Natalia",163,50,213,76.5
"Bianchetti, Emmanuel",164,49,213,77.0
"Benedetti, Atilio",150,44,194,77.3
"Tournier, Jose Federico",165,48,213,77.5
"Bordet, Gustavo",165,48,213,77.5
"Garcia Aresca, Ignacio",166,47,213,77.9
"Vidal, Maria Eugenia",152,42,194,78.4
"Avila, Fernanda",169,44,213,79.3
"Stolbizer, Margarita",154,40,194,79.4
"Klipauka Lewtak, Florencia",154,40,194,79.4
"D'alessandro, Carlos",154,40,194,79.4
